review_text,clean_text,sentiment,predicted_sentiment,positive_probability,possible_reason
ga bisa afgret,afgret,negative,positive,0.539655172413793,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Biaya aplikasi mahal,biaya mahal,negative,positive,0.5394488520264173,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Driver go car kebanyakan pilih pilih,driver go car banyak pilih pilih,negative,positive,0.533634185350204,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Tidak ada ulasan,ulas,negative,positive,0.5322506038619665,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Gojek kenapa semakin gak bagus Buka aplikasi gak bisa,makin bagus buka,negative,positive,0.5177211311454193,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
sekarang lemot nya pollbiasanya sat set ini buka riwayat aja lamanya ga ketulungan,sekarang lot pollbiasanya sat set buka riwayat lamanya ketulungan,negative,positive,0.5120964251559312,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Aplikasinya semakin berat,makin berat,negative,positive,0.5105681588646807,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Ribet,ribet,negative,positive,0.5096164334260368,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Kualitas aplikasi jelekgk bisa terima telpon,kualitas jelekgk terima telpon,negative,positive,0.5047711859546878,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Susah mengunakan ya,susah mengunakan,positive,negative,0.47902841155816156,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Aplikasi yg wajib kalian miliki,wajib kalian miliki,positive,negative,0.4729762559410503,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Solusidr masalah transportasi yg jauh jadi dekatlapar jadi kenyangkarna ada gofood,solusidr masalah transportasi jauh jadi dekatlapar jadi kenyangkarna gofood,positive,negative,0.4718958307937743,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Sangat membantu terutama di voucher  cuma saya tidak bisa GopayLater tp voucher yg banyak itu yg sistem pembayaran nya GopayLater,sangat bantu utama voucher cuma gopaylater tp voucher banyak sistem bayar gopaylater,positive,negative,0.46721106527746986,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
Jadi bisa kirim food ke ortu meski tinggalnya jauh dikampung Tinggal set lokasi beres,jadi kirim food ortu meski tinggalnya jauh dikampung tinggal set lokasi beres,positive,negative,0.4596261824924604,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Yang barusan saya alami tertib  tenang,barusan alami tertib tenang,positive,negative,0.4582533456674106,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Terus berinofasi,terus berinofasi,positive,negative,0.45291963473619407,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Gojek kami nggak bisa pakek,pakek,positive,negative,0.4470779011230219,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Gojek g punya nomer yg bisa d hubungi real time yagembel bngetklo misal ada jngn d umpetin lahd taro dmn sihmasa iya klo ada apa2 ngirim k email,punya nomer hubung real time yagembel bngetklo misal jngn umpetin lahd taro dmn sihmasa klo apa ngirim email,positive,negative,0.4468989178291888,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Kasih full bintang,kasih full bintang,positive,negative,0.4458908937404597,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Masih suka sebenar nya tpi,suka sebenar tpi,positive,negative,0.4440322271024967,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Kenapa aplikasi gotix nya tidak ada lagisusah kl mau pesan tiket nonton bioskop KL tidak ada,gotix lagisusah kl mau pesan tiket nonton bioskop kl,positive,negative,0.4432727186735369,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
aku mau upgrade tapi lama jadi aku copot aja sekalian,aku mau upgrade lama jadi aku copot sekalian,positive,negative,0.43521020572404445,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
luarbiasa walo cuaca hujan tetep profesionaltepat waktu,luarbiasa walo cuaca hujan tetep profesionaltepat waktu,positive,negative,0.4343387411496711,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Aplikasi gerep ga bisa kebuka,gerep buka,positive,negative,0.4230836751974441,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Buka di timika juga,buka timika,positive,negative,0.4230836751974441,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Langsung 7 bintang,langsung bintang,positive,negative,0.4207619835899034,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Untuk cancel kadang agak kesulitangojek sendiri ada yg nggak ngerti cara cancel nya mhn diperhatikan,cancel kadang kesulitangojek sendiri ngerti cara cancel mhn perhati,positive,negative,0.41581844729415696,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Gojek nya dipilihkan selalu jauh dari lokasi saya,dipilihkan selalu jauh lokasi,positive,negative,0.41391553969938844,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Untuk handphone esia hidayah tidak bisa ter install aplikasi nya,handphone esia hidayah ter install,positive,negative,0.41165338539484836,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Driver kebanyakan nggak bawa uang kecilbuat kembalian,driver banyak bawa uang kecilbuat,positive,negative,0.4050721809404198,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Sering2 ya diskonyaa gojek,sering diskonyaa,positive,negative,0.3989624705353027,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Aku cintaaaa gopay,aku cintaaaa gopay,positive,negative,0.3873757001609365,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Kok Bis di buka,kok bis buka,positive,negative,0.38699234761748125,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
akhir ini selalu hang,akhir selalu hang,positive,negative,0.3828892746594538,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
masih bintang 5 walaupun gopaylater saya tidak bisa di gunakan ntah kena alasannya terimakasih,bintang walaupun gopaylater ntah kena alas terimakasih,positive,negative,0.37913332881639955,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Coba coba,coba coba,positive,negative,0.3687735680636352,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Susah beri titik lokasi nya,susah beri titik lokasi,positive,negative,0.3677141041509,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Aman 1 lg kalau bowlehh gopay pinjaman nyaa tenorr 10 bulan donkk,aman lg kalau bowlehh gopay pinjam nyaa tenorr bulan donkk,positive,negative,0.3662432147263225,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Gopay later nya bagus,gopay later bagus,positive,negative,0.3588119422784969,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Penggunaan aplikasi cukup mudah dan memudahkan tapi sayang fitur mappeta nya tidak akurat jadi kasian driver kalo antar makanan atau jemput jalannya suka diarahkan muter muter bahkan ke gang Padahal lokasinya dekat dan tdk harus melalui gang,cukup mudah mudah sayang fitur mappeta akurat jadi kasi driver kalo antar makan jemput jalannya suka diarahkan muter muter bahkan gang padahal lokasi dekat tdk lalu gang,positive,negative,0.35824084654494337,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
selain ongkir ada biaya lainnya jg,ongkir biaya jg,positive,negative,0.35660711529395095,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Promonya pelit banget sekarang,promonya pelit banget sekarang,positive,negative,0.35595165460722894,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
mau nanya kenapa go pinjem saya hilang dari mene,mau nanya go pinjem hilang mene,positive,negative,0.34156769986846836,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Awal yg baik,awal baik,positive,negative,0.3403218532259453,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Wes langganan suwe Apik Cuman skrg ongkir mahal,wes langgan suwe apik cuman skrg ongkir mahal,positive,negative,0.3398529625828588,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Tolong di tambahkan login menggunakan email di kolom login masuk applikasi gojek autautenfikasi login google sebelum masuk di halaman gojek dan tidak hanya di applikasi di androind di playstore tapi juga berlaku di appstore,tambah login email kolom login masuk applikasi autautenfikasi login google masuk halaman applikasi androind playstore laku appstore,positive,negative,0.33486397631547593,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
Susah kebuka sekarang kenapaya,susah buka sekarang kenapaya,positive,negative,0.3334406223567049,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Lancar kaya tol,lancar kaya tol,positive,negative,0.3320149266591424,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Dari awal gojek ada selalu pake ini engga pernah pakai aplikasi ojol yg lain,awal selalu pake engga pernah pakai ojol,positive,negative,0.3289652998795483,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
sebenernya bagus sih aplikasinya lumayan serba guna jugacuma pernah bbrp kali ada pengalaman yg bener gaenak sm driver drivernya pemarahngoceh terus bahkan ada yg maksa nyuruh ngasih bintang 5 smpe handphone saya direbut dan dia ngerating dirinya sendiri pake hp saya bener bener nggak sopan,sebenernya bagus lumayan serba jugacuma pernah bbrp kali alam bener gaenak sm driver drivernya pemarahngoceh terus bahkan maksa nyuruh ngasih bintang smpe handphone direbut ngerating dirinya sendiri pake hp bener bener sopan,positive,negative,0.3266550227840943,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Update sekarang tidak ada lagi bug ngehank sendiri lancar dan juga nyaman,update sekarang bug ngehank sendiri lancar nyaman,positive,negative,0.32080378456695013,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Coba dulu,coba dulu,positive,negative,0.31704248253526995,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
coba aja dulu,coba dulu,positive,negative,0.31704248253526995,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Admiiinnnnnnn bisain lagi dong pulsa dan paket data pake GopayLatter  hikss sedih aku tu udah ga bisa lagiiiiiii,admiiinnnnnnn bisain pulsa paket data pake gopaylatter hikss sedih aku tu lagiiiiiii,positive,negative,0.3153818848966653,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Sering 2 ada promoatau potongan,sering promoatau potong,positive,negative,0.30732679799749885,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Gojek kapan masuk Nusa tenggara timur nih Supaya ada saingan dengan Grab dan maxim,kapan masuk nusa tenggara timur saingan grab maxim,positive,negative,0.3063179822615794,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Walau hujan besar orderan tetap disampaikan,hujan besar order tetap disampaikan,positive,negative,0.302841395909467,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Aplikasi lemot berat banget buka nya,lot berat banget buka,positive,negative,0.3011693093768602,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Sangat terbantu dg aplikasi ini cuma hbis update kok gk bisa di buka jdi kacau pas mau pesan mental gk bisa,sangat bantu dg cuma hbis update kok gk buka jdi kacau pas mau pesan mental gk,positive,negative,0.2987984692499603,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Koneknya agak lama,koneknya lama,positive,negative,0.2974523085529736,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
please adakan pembayaran Gopay untuk Shoppe atau tokped,please adakan bayar gopay shoppe tokped,positive,negative,0.2934050404713384,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Menu kok pake bahasa inggris,menu kok pake bahasa inggris,positive,negative,0.29210893563945045,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Mau 4 aja,mau,positive,negative,0.2915688669968598,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
kenapa gaada gotix di aplikasi saya,gaada gotix,positive,negative,0.2901855815671057,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
saya suka dengan gojek karna banyak voucher diskonnya dan saya selalu memakainya cuma masalahnya kenapa setiap saya ulang kembali mau order tapi harganya malah naik dari harga sebelum yang saya belum order dan harga nya ga tetap,suka karna banyak voucher diskon selalu memakainya cuma masalah ulang mau order harga malah naik harga order harga tetap,positive,negative,0.2893977841177615,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
akun gojek ga bisa aktif,akun aktif,positive,negative,0.28827683980180396,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Apa GoTix sudah tdk ada,apa gotix tdk,positive,negative,0.28630871277894365,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Bunga Gopay pinjam nyaterlalu besar,bunga gopay pinjam nyaterlalu besar,positive,negative,0.28613049380216815,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
tapi alamat musholla Miftahul Jannah papanggo titiknya salah,alamat musholla miftahul jannah papanggo titik salah,positive,negative,0.2826627367607353,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
Setidaknya belum menemukan bug jadi aplikasinya menurut saya sudah stabil,temu bug jadi stabil,positive,negative,0.27651954954848557,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
kok gaada gotix,kok gaada gotix,positive,negative,0.2754730197576793,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Wahai gojek kalo potong komisi dari driver jangan banyak  Kasihan mereka,wahai kalo potong komisi driver jangan banyak kasihan,positive,negative,0.2744589693293032,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Pagi paknapa gopay liter sy diblokir ya,pagi paknapa gopay liter sy blokir,positive,negative,0.2647335794834106,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Gojek saya sudah melamar beberapa bulan lalu di goparner koq blm dipanggil panggil ya Padahal teman2 saya yg baru melamar langsung dipanggil Koq saya blm ya Padahal persyaratan saya lengkap Padahal masih ada bukaan dibandar lampung,melamar beberapa bulan lalu goparner koq blm dipanggil panggil padahal teman baru melamar langsung dipanggil koq blm padahal persyaratan lengkap padahal bukaan dibandar lampung,positive,negative,0.2591128236439107,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
Fitur gotix nya kok gk ada lagi ya min Padahal enak beli tiket bioskop disitu,fitur gotix kok gk padahal enak beli tiket bioskop situ,positive,negative,0.25266339578414565,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
Puass sihhhh cuma kurang 1 penambahan alamat tambahin foto dongg biar makin akurat kasian drivernya jasi nyari nyari yah yah yah,puass sihhhh cuma kurang penambahan alamat tambahin foto dongg makin akurat kasi drivernya jasi nyari nyari yah yah yah,positive,negative,0.2515129893702754,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Cakupan resto banyak driver selalu tersedia dan vocer yg menarik,cakupan resto banyak driver selalu sedia vocer tarik,positive,negative,0.25046521440046887,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Mau kasi bintang lima tapi saya tidak bisa ditelpon sama driver karena option tanda telpon tidak muncul di hpku,mau kasi bintang lima ditelpon sama driver option tanda telpon muncul hpku,positive,negative,0.24294701583790723,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
Abs d upgrade mlh ga jelas aplikasi ny Pas d buka balik lgi sprti pmula,abs upgrade mlh jelas ny pas buka balik lgi sprti pmula,positive,negative,0.23570902416425019,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Kanapa gofood sekarang estimasi waktu nya jadi lama ya Keburu kelaparan,kanapa gofood sekarang estimasi waktu jadi lama keburu lapar,positive,negative,0.23509336530946456,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Apk ada masalah apa Taransfer antar bank gk bisa Kenadalanya apa ini,masalah apa taransfer antar bank gk kenadalanya apa,positive,negative,0.22463385302220756,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Banyak modus penipuan top up dari tokopedia gopay mohon di cari tahu ya saya sebagai karyawan retail kasian sekali melihat banyak kosnumen kena tipu berjuta2,banyak modus penipuan top up tokopedia gopay mohon cari tahu karyawan retail kasi sekali melihat banyak kosnumen kena tipu berjuta,positive,negative,0.21565374197306778,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
1tekan alamat random 2nantikan uda tercantum biaya GoJek nya lalu tekan panah destinasi yg berwarna oranye 3 Lalu pilih destinasi kemana kamu mau,tekan alamat random nantikan uda tercantum biaya lalu tekan panah destinasi berwarna oranye lalu pilih destinasi kamu mau,positive,negative,0.2098069149476139,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Gopay laternya tolong dibenerin ya Masa Setiap kali mau bayar tagihan selalu perbaikan Selalu lo itu saya harus nyoba 10x setiap waktu mau pembayaran Tolong perbaiki,gopay laternya dibenerin masa kali mau bayar tagih selalu baik selalu lo nyoba waktu mau bayar baik,positive,negative,0.2084047227076645,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
knp akun gojek sy gk bisa di buka sdh update,knp akun sy gk buka sdh update,positive,negative,0.2040519051509393,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Kenapa akun saya masih di blok,akun blok,positive,negative,0.19582173448491308,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Kadang notifikasi chat dari driver suka lamban munculnya gimana tuh,kadang notifikasi chat driver suka lamban munculnya gimana tuh,positive,negative,0.19499379831299266,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Tolong pihak gojek perbaiki aplikasi gojeknya supaya banyak yang instalkalo kaya gini terus bisa pada pindah aplikasi,pihak baik banyak instalkalo kaya gin terus pindah,positive,negative,0.18507469633891663,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Saya melakukan transaksi terus gagal tapi saldo di tarik dk ga balik lagi,laku transaksi terus gagal saldo tarik dk balik,positive,negative,0.18463101789982725,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
ongkir semakin mahal,ongkir makin mahal,positive,negative,0.18266111915002758,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Saya ingin menghubungi cs bagaimaa caranya,hubung cs bagaimaa cara,positive,negative,0.17437838204645917,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Untuk buka menu top up selalu ngeleg pdhal sinyal ssngat bagus tp knp ya susah dibukatolong diperbaiki,buka menu top up selalu ngeleg pdhal sinyal ssngat bagus tp knp susah dibukatolong baik,positive,negative,0.1670223009020894,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
Ongkir mahal,ongkir mahal,positive,negative,0.16441090220171525,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Tuh udh gua kasih bintang 5,tuh udh gua kasih bintang,positive,negative,0.1596624076418602,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Tolong diperbaiki Belakangan ini sering forceclose Lalu kendala yg sangat aneh jika driver telfon customer di HP customer tinggal muncul menu angkat telfon dan hanya berdering,baik belakang sering forceclose lalu kendala sangat aneh driver telfon customer hp customer tinggal muncul menu angkat telfon berdering,positive,negative,0.1596554775511283,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
G bisa d buka ni susah aplikasi Gojek nya knp ya,buka ni susah knp,positive,negative,0.15848145747881906,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Mau masuk aplikasi gojek lagi kok sulit,mau masuk kok sulit,positive,negative,0.1575467886415992,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Saya isi gopay tapi tidak masuk,isi gopay masuk,positive,negative,0.15397427522626747,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
Mau daftar nunggu sms code tapi gak masuk masuk,mau daftar nunggu sms code masuk masuk,positive,negative,0.15203987420627874,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
Ini akun ke 2 dari dulu sampe sekarang gak pernah ke Laen aplikasi,akun dulu sampe sekarang pernah laen,positive,negative,0.14784490544620255,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Susah banget cari gocar di purwakarta woy apa masih sedikit ya,susah banget cari gocar purwakarta woy apa sedikit,positive,negative,0.14540344091736385,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Gimana ceritanya minkok GopayLater saya gak bisa digunakan Ngapain juga dinaikan limit nya kalau ujung nya gak bisa digunakan,gimana ceritanya minkok gopaylater ngapain dinaikan limit kalau ujung,positive,negative,0.13756566486173907,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Saya udah bertahun2 pakai gopay tp hari ini saya top up tp kok ga masuk ke kantong utama malah pindah ke tabungan mau di bawa ke kantong utama ga bisa saya mau bayar tagihan tolong segera di perbaiki ya takut ntr kena denda kalo saya blm bayarpdahal uang saya ud disana Oke terima kasih,tahun pakai gopay tp hari top up tp kok masuk kantong utama malah pindah tabung mau bawa kantong utama mau bayar tagih segera baik takut ntr kena denda kalo blm bayarpdahal uang ud disana oke terima kasih,positive,negative,0.13128921076399427,Review mengandung opini campuran atau kontras seperti 'tapi/namun'.
